Eg  sigma   Dsigma			
8.25    27.47	1.3			
8.42    34.51	1.6			
8.6 35.55	1.6			
8.75	38.31	2.5			
8.88	41.33	1.9			
8.94	43.23	0.38			
9.01	44.83	0.49			
9.1	47.62	0.44			
9.1	45.23	1.81			
9.15	48.34	0.58			
9.22	51.01	0.59			
9.36	51.09	0.99			
9.42	57.39	1.59			
9.53	65.75	1.1			
9.64	60.14	1.78			
9.81	69.57	1.08			
10.01	70.2	1.21			
10.35	90.31	1.85			
10.55	104.74	1.47			
10.97	155.06	2.06			
11.38	201.49	2.24			
11.75	253.32	2.6			
11.89	266.4	1.79			
12.11	309.49	2.14			
12.42	368.63	2.1			
12.68	419.92	2.37			
12.88	457.1	2.58			
13.14	506.72	2.75
